id,text
[000100 (1)],    Þis synd þara twentiges hida landgemæra to burhtune ærest of widig forda andlang weges to pippenespenne.
[000200 (2)],"    Of pippenespenne, andlang slades on turcandene."
[000300 (3)],    Up andlang dene to þære swelstowe syððan andlang foss to þan ealdan sice wið slohterword.
[000400 (4)],"    Andlang sices on wenris, andlang streames eft on wiðig ford."
[000500 (6)],    Þonne is þis þara VII hida landgemæra æt mæþelgares byrig þe hyrd into burghtune.
[000600 (7)],    Ærest of mæþelgeres byrig on deopancumb of deopancumbe on cwenena broce of cwenena broce up be þam geride.
[000700 (9)],"    To þam beorgan, of þam beorgan on fiscwille."
[000800 (9)],"    Of fiscwille on mæswille, of mæswille on sealter wille."
[000900 (10)],    Of sealter pille &lang broces to þam greatan þorne.
[001000 (11)],"    Of þam þorne on þorn beorh, of þorn beorge on foss eft &lang foss."
[001100 (12)],    Þæt in on da ea on wænric.
[001200 (12)],    Up on stream oð ðone garan suðweardne.
[001300 (13)],    Of þam garan on horwyt of horpytte eft on foss.
[001400 (14)],"    Wid suðan þone garan, andlang foss eft on mæþelgares byrig."
[001500 (16)],    Þon is þis þara VII hida landgemæra æt dægeles forda þe hirð into burgtune.
[001600 (17)],    Ærest of blædene on mules hlæw<../images/tbar.gif>forð up to heortdune.
[001700 (18)],    To hwettan stanes wylle of hwættan staneswille on heort broc of þam broce on þa stige.
[001800 (19)],    Andlang stige dic &lang dic on þa stræt to þære oðere stræt.
[001900 (20)],    Oþ þære stræt on beagan wille anlang broces eft on blædene.
[002000 (22)],    Oscetel circwærd.
