id,text
[000100 (1)],    Ðis sint þa landgemæra & se embe gang þara landa to baddan byrig & to doddan forda & to efer dune.
[000200 (2)],    Ðæt is þone ærest æt baddan byrg westeweardre & norðeweardre æt þam lytlan toclofenan beorge.
[000300 (4)],    Þonne on gerihte of ðam beorge norð to wearge dune.
[000400 (5)],    Betweox þa lytlan twegen beorgas.
[000500 (5)],    Þæt þær norð andlang ðære lytlan dic æt þæs grafes ende oð ða smalan ðornas.
[000600 (6)],    Ðonne of ðam þornum up on ða lytlan dune middeweardre.
[000700 (7)],    Þonne of ðære dune east on fox hylle easteweardre.
[000800 (9)],    Þonne geuðe ic Ælfwine & Beorhtulfe þæs leas & þæs hammes be norðan þære lytlan dic.
[000900 (11)],    Ðonne lið ðæt gemære on gerihte of fox hylle norðeweardre on þone holan weg æt hinde hlypan.
[001000 (12)],    Þonne of hinde hlypan on þone wylle æt þam lea ufeweardan.
[001100 (13)],    Of ðam wylle on ðæt heorot sol.
[001200 (13)],    Of ðam heorot sole norð on gerihte on ðone beorg.
[001300 (14)],    Þonne of ðam beorge on gerihte to ðam lea.
[001400 (15)],<../images/tbar.gif>forð be lea on wiðig wylles heafud.
[001500 (16)],    Of ðam wylle norð on gerihte on ða ðornehtan dune toemnes þam geate æt þære ealdan byrg.
[001600 (17)],    Þæt fram ðam geate on gerihte east to mær pytte.
[001700 (18)],    Þonne of ðam pytte on gerihte to ðam stane æt þam wylle wið norðan mæres dæl.
[001800 (19)],    Þonne suð on gerihte andlang wæclinga stræt on þone weg to weoduninga gemære.
[001900 (20)],    Þonne west andlang weges on ðone lytlan beorg.
[002000 (21)],    Ðær se stoc stod.
[002100 (21)],    Ðæt þonan suðrihte on ðone ealdan mylier þær þa welegas standað.
[002200 (22)],    Ðæt west andlang burnan oð hit cymð þær bliðe utscyt.
[002300 (23)],    Þæt andlang bliðan oð ða stan bricgge.
[002400 (24)],<../images/tbar.gif>east of ðære bricgge.
[002500 (24)],    Andlang dic oð ðone hæþenan byrgels.
[002600 (25)],    Of þam byrgelse forð norð be wyrttruman oð ðæs heges ende be weoduninga gemære.
[002700 (26)],<../images/tbar.gif>þonan andlang gemæres on gerihte to ðam stocce on easteweardan þam lea.
[002800 (27)],    Of ðam stocce suðrihte on þære stræt.
[002900 (28)],    Andlang stræt to þære fyrh ðe scyt suðrihte to þære miclan stræt æt þæs wylles heafde æt snoces cumbes gemære.
[003000 (29)],<../images/tbar.gif>west andlang stræt on ðone æsc.
[003100 (30)],    Þæt fram ðam æsce andlang stræt betweox þa twegen leas on ða ealdan sealt stræt oð ðone steorte.
[003200 (32)],    Fram þam steorte andlang þæs fulan broces oð bliðan.
[003300 (33)],    Ðonne is<../images/tbar.gif>land æt snoces cumbe healf þæs cinges healf uncer brentinges.
[003400 (34)],    Buton me God geunne & min hlaford þæt he his me geunnan wille.
[003500 (36)],    Þonne gæð sio mearc forð andlang bliðan west oð ðæt seo lacu utscyt on bliðan wið ufan stan bricgge.
[003600 (37)],<../images/tbar.gif>norð andlang lace.
[003700 (37)],    Oð ða dic þonne andlang dic oð ðone weg þe scyt to fealuwes lea on þam slade.
[003800 (39)],    Þæt on fealuwes lea þær.
[003900 (39)],    Ælfric biscep redan het to þære ealdan dic.
[004000 (40)],    Andlang dic to ðam wege þe scyt up to ðam hricgge.
[004100 (41)],    Andlang hricgges to þam wege þe scyt fram fealuwes lea to baddan by ane lytle hwile.
[004200 (42)],    Þonne of ðære apuldre þe stent wið westan þam wege þurh þone lea to þam miclan hæsl wride.
[004300 (43)],    Of þam hæsl wride adun on þa blacan rixa.
[004400 (44)],    Of þam rixun on þa lytlan hecggan æt þam wege þe scyt fram baddan by to cear wyllun.
[004500 (45)],    &lang weges oð ðone broc þe scyt to fealuwes lea to þam forda ðæt west æfre &lang broces oð ðone weg þe scyt to stæfertune wið suðan þa ealdan burh æt baddan byrg<../images/tbar.gif>west &lang weges oð toemnes þære micelan dic oð westewearde þa burh.
[004600 (49)],    Andlang ðære dic & be þære byrg westeweardre norð oð ðone tobrocenan beorg.
[004700 (50)],    Ðe þær is toclofen on norðweardre & on westeweardre baddan byrg.
