id,text
[000100 (1)],    Ðis sint þa landgemæra to Boxorran.
[000200 (2)],    Ærest æt wines treowe<../images/tbar.gif>andlang herpaþes to dene pitte þonne up on æscmeres hammas suþewearde of þan hammum andlang mærce ut on þone heað feld easteweardne<../images/tbar.gif>ut on linden norðwearde þonne andlang mearce on weocan þorn of þan þorne<../images/tbar.gif>andlang mearce on lam burnan on clatford.
[000300 (6)],    Of clat forda on meos broces heafod<../images/tbar.gif>þonne to allan stapule þonan andlang herpaþes ut on þone mersc þa be mersce to þan tune on þa hege ræwe<../images/tbar.gif>on ða dic andlang dic ut on þone burnan þonne up on þa blacan græfan of þære graefan on Rinda crundel of þan crundle to þrim þornun<../images/tbar.gif>andlang weges eft on wines treow þær hit ær on fæng.
