id,text
[000100 (1)],    Ðis sindon þa landgemæro þæs geburlandes to abbendune<../images/tbar.gif>is gadertang on þreo genamod<../images/tbar.gif>is hengestes ig. & seofocan wyrð. and wiht ham.
[000200 (3)],    Ærest on meagðe ford<../images/tbar.gif>mid streame on stanford.
[000300 (4)],    Forð mid streame wiþ utan cytan igge on þa land lace of þære lace on scæcyling æcer<../images/tbar.gif>on hi wege to yfemestan leage þæt on preosta leage<../images/tbar.gif>to catleage<../images/tbar.gif>to cybban stane of þæm stane on þa þrio gemæru ðaet innan ruwan leage to brogan gete<../images/tbar.gif>to sundran edisce on þone greatan þorn of þan þorne on cotan healas<../images/tbar.gif>on tiddan cumb of þæn cumbe on tetan hylle.
[000400 (10)],    Of tytan hylle to þaen heafod wege ondlong cumbes to þæm hecce of þam hæcce to paþe stocce<../images/tbar.gif>to plum leage<../images/tbar.gif>on friþela byrig ðæt to ydyr leage of ydyr leage to þam stane<../images/tbar.gif>on temese æt eanflæde gelade þæ amid streame<../images/tbar.gif>hit cimeð eft on mægþa ford.
