id,text
[000100 (1)],    Ses boer se boundes bitwene Krundæle and Ælvethæm.
[000200 (1)],    Ærest fræm se Eldefordæ ændlænges weyes forth biweste Foghelmære; þænne to þe wolfputte; þænne to <ðe> herepathe.
[000300 (3)],    þænne andlange herepathe to brightmere; þænne ændlænd riðe on bromhurst; þanne ændlang bourne to þe marke of <Crundele>.
