id,text
[000100 (1)],    Eadward cyncg gret Ælfward biscop & Wulfgar minne portgerefa & ealle þa burhware on Lundene <freondlice>.
[000200 (2)],    & ic cyþe eow þæt ic wille þæt mine men on Ænglisce cnihte gilde beon heore sace & heore socne wurðe binnan burh & butan ofer heora land & ofer heora men.
[000300 (5)],    & ic wille þæt heo beon swa godre lage wurðe swa heo wæron on Eadgares dæge cynges & on mines fæder & swa on Cnudes.
[000400 (6)],    & ic wille eac hit mid gode geeacnian.
[000500 (7)],    & ic nelle geþafian þæt heom ænig man misbeode ac beon heo ealle gesunde.
[000600 (8)],    & God eow ealle gehealde.
