id,text
[000100 (1)],"    Ic þa wiht geseah wæpnedcynnes, <geoguðmyrþe> grædig; him on gafol forlet ferðfriþende feower wellan scire sceotan, on gesceap þeotan."
[000200 (5)],"    Mon maþelade, se þe me gesægde: Seo wiht, gif hio gedygeð, duna briceð; gif he tobirsteð, bindeð cwice."
