id,text
[000100 (1)],    Þis syndon þa land gemæro to Baruwe.
[000200 (1)],    Ærest up of Humbre andlanges þere ealdan dic þæt it cymeð to wyrðe.
[000300 (2)],    Fram wyrðe to Heope bricge.
[000400 (3)],    Fram Heope bricge to merce mot.
[000500 (3)],    Fram merce mote to Cumbre hole.
[000600 (4)],    Fram Cumbre hole to willum.
[000700 (4)],    Fram willum to micle hoh.
[000800 (5)],    Fram micle hohe to middel hille.
[000900 (5)],    Fram middel hille to mære dic.
[001000 (6)],    Swa andlang mære dic eft ut on Humbre.
