id,text
[000100 (1)],Nomina episcoporum aecclesiae quæ dicitur Casa Candiona.
[000200 (2)],"    Penthelm, Froðowald, Hehtwine, æðelberht, Eadwulf."
[000300 (3)],"    Cccc xc iiii, Cerdic xiii, Cyneric xxiii, Ceaulic xvii, Ceol v, Ceolwulf xiiii, Cynegils, primus christianus, xxxxi, Cenwalh xxxi, Sexburh i annum, Æscwine ii, Centwine ix, Ceadwalla iii, Ine xxxvii, Æþelheard xiiii, Cuðred xvi, Sigebyrht i, Cynewulf xxxii, Byrhtric xvi."
[000400 (7)],"    Ecgbyrht xxxvii & vii monð, æþelwulf xix healf gear, Aþelbald v, æþelbyrht v, æðered v, ælfred xxix & vii monð, Eadweard xxv, æþelstan xiiii & vii wucan, Eadmund vii healf gear, Eadred x healf gear, Eadwig iiii butan vii ucan, Eadgar xvi, Eadweard iii, æþelred."
