id,text
[000100 (1)],    Ðis sindon þa landgemæro.
[000200 (1)],    Ærest on hunda leage on grægsole burnan &lang burnan on grægsole hagan &lang hagan to hagena gemyðum of þen gemyþun on tichan stedes hagan &lang hagan ut to felda þæt a be wyrtwalan oþ hit cymð ut on fulan Riþe.
[000300 (5)],    Andlang Riþe ut on doccena ford of þan forda west be more oþ hit cymð on þone licgendan stoc of þan stocce &lang hagan ut to heaðfelda to beorhfeldinga gemaere to þen hagan.
[000400 (7)],    Andlang hagan bur.
