id,text
[000100 (1)],Nap siluaticasperewyrt<../images/lbar.gif>wilde næp.
[000200 (2)],Heliotropium<../images/lbar.gif>solsequiu.
[000300 (3)],Carix et sabium et liscasecg.
[000400 (4)],Rubiamæddre.
[000500 (5)],Iuncusrisc.
[000600 (6)],Scirpusærisc.
[000700 (7)],Bremiumearic.
[000800 (8)],Uluagræde.
[000900 (9)],Gramencwice.
[001000 (10)],Algasæwaur.
[001100 (11)],Consoldadæges ege.
[001200 (12)],Raphanum et radixrædic.
[001300 (13)],Tursus cimiacrop.
[001400 (14)],Centaures maiorcurmelle.
[001500 (15)],Brittanicacusloppe.
[001600 (16)],Maluamaluwe<../images/lbar.gif>geormenleaf.
[001700 (17)],Pastinaciafeldmora.
[001800 (18)],Daucuswealmora.
[001900 (19)],Napusnæp.
[002000 (20)],Citicotiagiþcorn.
[002100 (21)],Sinapissenep.
[002200 (22)],Cariotawaldmora.
[002300 (23)],Cucurbitacyrfæt.
[002400 (24)],Papirusduþhamor.
[002500 (25)],Narstutiumtunkerse.
[002600 (26)],Rapanæp.
[002700 (27)],Fungusmetteswam<../images/lbar.gif>Tuber.
[002800 (28)],Carduusþistel.
[002900 (29)],Coliandrumcelendre.
[003000 (30)],Cerefoliumærfille.
[003100 (31)],Elleborumwodewistle<../images/lbar.gif>Uoratrum.
[003200 (32)],Cicutahemlic.
[003300 (33)],Congero i coaduno.
[003400 (34)],Creber i frequens.
[003500 (35)],Curialis i studiosus.
[003600 (36)],Coeo i conuenio.
[003700 (37)],Celeber i laudabilis.
[003800 (38)],Cuniculus i fossa sub terra occulta quam franci uocant cursire.
[003900 (39)],Catillum i aescuarium.
[004000 (40)],Collido i confringo.
[004100 (41)],Illido i concutio.
[004200 (42)],Custodela i custodia.
[004300 (43)],Clientela i disciplina.
[004400 (44)],Cordi homo i delectabilis<../images/lbar.gif>amabilis acceptabilis alacer.
[004500 (45)],Celsitudo i sublimitas.
[004600 (46)],Cuna i lectus infantis.
[004700 (47)],Conciliabulum i reconciliatio.
[004800 (48)],Cariolus i uermis corrumpens marcidum lignum.
[004900 (49)],Corpus i soma.
[005000 (50)],Celebs i castus.
[005100 (51)],Celibalis i uita uirginum.
[005200 (52)],Crudus i austerus asper durus.
[005300 (53)],Confusus i turbus.
[005400 (54)],Continua i proxima.
[005500 (55)],Cerritus i insanus.
[005600 (56)],Callidus i uersipellis uafer.
[005700 (57)],Carpasum i uelum.
[005800 (58)],Cataracta i fenestra propriae est foramen in pariete ad egrediendum fumum.
[005900 (59)],Catapulta i sagitta<../images/lbar.gif>iaculum celer.
[006000 (60)],Consertio orationis i confabulatio qua alter loquitur et alter respond.
[006100 (61)],Consul i comes<../images/lbar.gif>marchio.
[006200 (62)],Columbar i cippus.
[006300 (63)],Celox i uelox<../images/lbar.gif>nauis scapham sig.
[006400 (64)],Compendiose i breuiter.
[006500 (65)],Cimex i uermis in ligno.
[006600 (66)],Callis i uia.
[006700 (67)],Clunis i nates.
[006800 (68)],Citerior i uicinior.
[006900 (69)],Competo i conuenio.
[007000 (70)],Carthina i epistola.
[007100 (71)],Carthinaciae i epistolares.
[007200 (72)],Cuimodi i cuiuscumque modi.
[007300 (73)],Caeparius est qui caepas exertet<../images/lbar.gif>qui caepis utitur.
[007400 (74)],Coum dicitur optimum uinum dictum ab insula choo ubi sunt optima uina.
[007500 (75)],Cestus i ludus pugilum.
[007600 (76)],Conspicor i intueor.
[007700 (77)],Comminiscor i confingo excogito.
[007800 (78)],Calumpnior i calumniam sustineo.
[007900 (79)],Carnificor i excrucior.
[008000 (80)],Controuersor i altercor litigo<../images/lbar.gif>controuersiam facio.
[008100 (81)],Controuersemini i ratiocinemini.
[008200 (82)],Caluo i decipio.
[008300 (83)],Caluillo i leniter<../images/lbar.gif>latenter illudo.
[008400 (84)],Uibex i ictus uirge signa plagarum.
[008500 (85)],Uarix cis i lepra minuta eo quod uariat cutem.
[008600 (86)],Cicer i genus leguminis.
[008700 (87)],Cassis i galea sed cassis ex ferro galea ex corio.
[008800 (88)],Contundo i confringo.
[008900 (89)],Collectim i generaliter coaceruatim.
[009000 (90)],Consternor i animo perturbor pertinet autem hoc uerbum proprie ad animum cum quis re subita uires animi amittit.
[009100 (91)],Conficior i conor compono inde confectus liber i compositus unde confectus senio i fatigatus.
[009200 (92)],Coniueo es i oculus claudo<../images/lbar.gif>consentio tractum a palpebris qui solent inuicem sibi consentire.
[009300 (93)],Cuso casas i frequenter cudo.
[009400 (94)],Incuso sas i redarguo<../images/lbar.gif>reprehendo minorem me.
[009500 (95)],Accuso maiorem.
[009600 (96)],Recuso i reicio.
[009700 (97)],Excuso i purgo recino i ad cantum respondeo<../images/lbar.gif>iterum cano.
[009800 (98)],Cubo i supra cubitum inclino<../images/lbar.gif>iaceo siue deseo cubui facit.
[009900 (99)],Incubo as incubui i insedeo rem alterius siue innitor<../images/lbar.gif>insisto adiecta.
[010000 (100)],Incumbo i immineo insisto<../images/lbar.gif>urgeo.
[010100 (101)],Concio i conuoco.
[010200 (102)],Calleo lui i sapio<../images/lbar.gif>intellego studiosus sum hinc callidus sapiens astutus callere est prudenter uidere.
[010300 (103)],Cassum i euacuatum<../images/lbar.gif>frustratum.
