id,text
[000100 (1)],    Arest of horspoles heauede anlang dich on ludenham.
[000200 (1)],    Of ludenhame alang streames on eldenham.
[000300 (2)],    Þannen forð to þere ealden hege þannen forder be hegen one stoc wey.
[000400 (3)],    Of stok wei anlang hecgham to filed hamme.
[000500 (4)],    Of filed hamme ut þurth þere groue on irichte to þere eald dich.
[000600 (5)],    Of þere eald idich.
[000700 (5)],    On irichte to here pað.
[000800 (6)],"    Of here paþe anlang richtes to lortenwille on ða elden dich of þere ealden dic, on duccenhulle."
[000900 (7)],"    Of duccenhulle, on cawel andlang dich."
[001000 (8)],"    On wincawel, þannen anlang streames."
[001100 (8)],    On hors poles heaued.
