id,text
[000100 (1)],    Geatfleda geaf freols for Godes lufa & for heora sawla þearfe<../images/tbar.gif>is Ecceard smið & Ælstan & his wif & eall heora ofsprinc boren & unboren.
[000200 (3)],    And Arcil & Cole & Ecferð Aldhunes dohter & ealle þa men þe heo nam heora heafod for hyra mete on þam yflum dagum.
[000300 (5)],"    Swa hwa swa þis awende & hyre sawla þises bereafie bereafige hine God ælmihtig þises lifes, & heafona rices, & sy he awyrged dead & cwic aa on ecnysse."
[000400 (7)],    And eac heo hafað gefreod þa men þe heo þigede æt Cwæs patrike.
[000500 (8)],<../images/tbar.gif>is Ælfwald & Colbrand Ælsie & Gamal his sune Eðred tredewude & Uhtred his steop sune Aculf & þurkyl & Ælsige hwa þe heom þises bereafie God ælmihtig sie heom wrað & sanctæ Cuðberh.
