id,text
[000100 (1)],    //f// fech.
[000200 (2)],    //u// ur.
[000300 (3)],    //þ// ðorn.
[000400 (4)],    //o// os.
[000500 (5)],    //r// rada.
[000600 (6)],    //c// cen.
[000700 (7)],    //g// geofu.
[000800 (8)],    //w// uyn.
[000900 (9)],    //h// haegil.
[001000 (10)],    //n// næd.
[001100 (11)],    //i// is.
[001200 (12)],    //j// gær.
[001300 (13)],    //ih// ih.
[001400 (13)],    //p// peord.
[001500 (15)],    //x// ilcs.
[001600 (16)],    //s// sygil.
[001700 (17)],    //t// ti.
[001800 (18)],    //b// berc.
[001900 (19)],    //e// eh.
[002000 (20)],    //m// mon.
[002100 (21)],    //l// lagu.
[002200 (22)],    //ng// ing.
[002300 (23)],    //d// dæg.
[002400 (24)],    //oe// oedil.
[002500 (25)],    //a// ac.
[002600 (26)],    //æ// æs.
[002700 (27)],    //ea// eor.
[002800 (28)],    //y// yr.
