id,text
[000100 (1)],    Ærest on linleage middewearde & on hean leage westewearde & an gabuldene eastewearde.
[000200 (3)],    Þanne on stapolas & an beonnan þorn.
[000300 (3)],    Ðonne an tuddeles þorn & an hroces wylle.
[000400 (4)],    Þonne on wulf beorh & an tuddan ham westeweardne.
[000500 (5)],    Þanne on brading leage westeweardne & on fearn lege westewearde.
[000600 (6)],    Þanne on beber burnan.
[000700 (6)],    Þonne an lawern wylle & an pegdes setl eastewerd.
[000800 (8)],Hæc sunt termini unius cassati.
[000900 (8)],"    Ærest on hroces wylle, þanne up on þæne weg oþ grenan hlinc."
[001000 (9)],    Þanon on oden uuielle.
[001100 (9)],    Þanne on dæneheardes hegeræwe.
[001200 (10)],    Þanon on þa hegeræwe on humbor ford.
[001300 (11)],    Þanne andlang humber.
[001400 (11)],    Þanon on eabbincg wylle þanne on risc broc .
[001500 (12)],    Þanon on þa westran fearn leage.
[001600 (12)],    Þanne on þæt land þe æþelswyþ cwen & Aþelbold ealdorman him geþingedon æt Aþulfe cynge.
