id,text
[000100 (1)],    Ðis sind þa landgemæro to Bægen weorþe.
[000200 (1)],    Ærest of gorgræfan up andlang slades on þone þorn þonne on þæt crundel suðeweard.
[000300 (3)],    Þonne to þan wulle<../images/tbar.gif>on læces ford þonne up andlang Riþe on gemærweg andlang weges on þa dic æt scobban oran.
[000400 (5)],    Andlang dic on gemær weg.
[000500 (5)],    Andlang weges on butan þorn hangran on ceobba stan forþ andlang gemær weges on þone weg æt cealfes wulle forð andlang weges.
[000600 (7)],    To yfemestan leage þonne forð ofer sciteres clif to hig wege up andlang weges to þan rahhege andlang weges on hæsel dic.
[000700 (9)],    Þonne on wulfstanes dic.
[000800 (9)],    Of þære dic on maduces lea þurh þone lea on þone put of þan putte on þone ellenstub þonne on lippan dic andlang on seofen æceras westewearde þonne on þone hæþenan byrgels þonne on þæt scorte land suþeweard þæt andlang fyrh on þone healfan æcer.
[000900 (13)],    Þonne on þæt wiþig bed þonne on dunan ford of þan forda andlang sunnigga wullæ broces on wudæford þonne andlang hricges on west mor innon þone broc up andlang broces on gorgraues þær hit ær on feng.
[001000 (17)],    Þis sint þara mead gemæra þe to þan lande gebyriaþ.
[001100 (17)],    Ærest of þære brycge on berige up andlang mid stremes oþ foran ongean þa niwan dic þonne oþ midne streamen niþer andlang streames up on þone greatan wilig þonne andlang þære hege ræwe ut on þa ea oþ midne stream.
[001200 (22)],    Þonne synt þis þa gemæro þære mæde æt ennan beorgum.
[001300 (22)],    Of þære dice ende ford þon þa ea niþer andlang mid streames up on þa won lace oþ foran ongean þone beorh þær betweonan meade & dune eft on þa dic.
