id,text
[000100 (1)],    Þis synt þa land gemæro to wiþilea.
[000200 (1)],    Ærest on ucing ford.
[000300 (1)],    Of þam forda on gerihte to þam smalan wege.
[000400 (2)],    Forð on þone weg to poddan beorge.
[000500 (3)],    Of þam beorge to wiþig slæde.
[000600 (3)],    Of þam slæde on gerihte to brocenan beorge.
[000700 (4)],"    Of þam beorge to wudu forda, of þam forda on gerihte to lulles beorge."
[000800 (5)],    Of þam beorge forð andlang herpoþes to cynulfes treowe.
[000900 (6)],    Of þam treowe on gerihte to mægen stanes dene.
[001000 (7)],    Of þære dene on þone weg to wiþilea gate.
[001100 (7)],    Of þam gate forð be þære dic eft to ucing forda.
[001200 (9)],    Þis is þæra feower hyda land boc æt Wiþiglea þe Eadgar cing hæfð gebocod Cenulfe on ece yrfe.
