id,text
[000100 (1)],luctaminawra.
[000200 (2)],sinuosisbosmigum.
[000300 (3)],circumseptusembhlæned.
[000400 (4)],proretaplyhtre.
[000500 (5)],et crepante& dynigendum.
[000600 (6)],nauclerinowende.
[000700 (7)],porticulohamure.
[000800 (8)],algosiscolum.
[000900 (9)],queþa we.
[001000 (10)],depromsimusyp.
[001100 (11)],corruptibilemgebrosnod.
[001200 (12)],incorruptamge.
[001300 (13)],sicswa.
[001400 (14)],maceriæweal.
[001500 (15)],historiamgewyrde.
[001600 (16)],"allegoriam, i parabolamgastlicum andgyte."
[001700 (17)],"tropologiamgehiwudre spræce, æfter gastlicre gebycnucge."
[001800 (18)],"anagogenuplicum andgyte, æfter upplicum andgite."
[001900 (19)],historiographorumge.
[002000 (20)],fortuitasþa.
[002100 (21)],tradiderunttæh.
[002200 (22)],gramaticorumstæ.
[002300 (23)],inquamwi.
[002400 (24)],"ultroneum, spontaneamgewil."
[002500 (25)],famulatumþeow.
[002600 (26)],"potissimum, i optimumswi."
[002700 (27)],propinarethe.
[002800 (28)],inrogabatlæ.
[002900 (29)],inmaculataþa un.
[003000 (30)],contuberniaþeod.
[003100 (31)],priscison.
[003200 (32)],"sanctionis, i iudiciifæ."
[003300 (33)],futureþæ.
[003400 (34)],estis.
[003500 (35)],sceptrumcy.
[003600 (36)],coruscantesci.
[003700 (37)],inquithe.
[003800 (38)],rutilantissci.
[003900 (39)],preferatursi foreset.
[004000 (40)],patiturþo.
[004100 (41)],rubentiss.
[004200 (42)],prediceturbið.
[004300 (43)],librorumrinda.
[004400 (44)],contextato ne.
[004500 (45)],et mulsum& þa swe.
[004600 (46)],spretaho.
[004700 (47)],despicitursa.
[004800 (48)],confectawort.
[004900 (49)],preferaturset.
[005000 (50)],circulushri.
[005100 (51)],patiturþo.
[005200 (52)],exanthlamusð.
[005300 (53)],putamusð.
[005400 (54)],purissimiþæs.
[005500 (55)],fornicibusbigelsu.
[005600 (56)],"in edito, i in alto."
[005700 (57)],tuboof þryh.
[005800 (58)],prestareþeon.
[005900 (60)],confunditursce.
[006000 (61)],contempniturho.
[006100 (62)],experimentismid.
[006200 (63)],contempniturho.
[006300 (64)],"ramusculistwy, boh."
[006400 (65)],uernantisg.
[006500 (66)],pulchriussmi.
[006600 (67)],flagrantiamid swæ.
[006700 (68)],redoleant& blad.
[006800 (69)],constetcuþ.
[006900 (70)],exuberanteof genihtsumum.
[007000 (71)],redituedhwyfte.
[007100 (72)],questugestreo.
[007200 (73)],surculorumsto.
[007300 (74)],pampinosa.
[007400 (75)],feruorewyl.
[007500 (76)],inquamwi.
[007600 (77)],sublimitasgeþun.
[007700 (78)],utþæt.
[007800 (79)],notabilitertal.
[007900 (80)],uideogite.
[008000 (81)],censeode.
[008100 (82)],scopulorumstanrocca.
[008200 (83)],scoriæsindran.
[008300 (84)],buccissmærum.
[008400 (85)],ambronibusgifrum.
[008500 (86)],lurconibusreaflum.
[008600 (87)],uoraginemedwindan.
[008700 (88)],strofosæbrædynes.
[008800 (89)],uenabuliseofur.
[008900 (90)],queþa.
[009000 (91)],apparatugeþrece.
[009100 (92)],faculaspelda.
[009200 (93)],collegiogesomnunge.
[009300 (94)],prestantioremselran.
[009400 (95)],stibionebsealue.
[009500 (96)],indruticansi tigcende.
[009600 (97)],corpuslic.
[009700 (98)],glumulahose.
[009800 (99)],insultanteshys.
[009900 (100)],oraculorumdihta.
[010000 (101)],prefiguraturwæs.
[010100 (102)],stipitumboga.
[010200 (103)],naptarumelegreouena.
[010300 (104)],quiþa.
[010400 (105)],potiuntursynt.
[010500 (106)],paranymphiswit uma.
[010600 (107)],contenduntseþað.
[010700 (108)],scaturiatcriþe.
[010800 (109)],dum eamþænne þa.
[010900 (110)],phitonissamhelrunan.
[011000 (111)],procacibusi gemagum.
[011100 (112)],eliminareaydan.
[011200 (113)],"scita, i iuralaga."
