id,text
[000100 (1)],    Ðis sind þa landgemearo to Pyrianforda.
[000200 (2)],    Ærest of pyrianforda andlang wægan on fisces burnan.
[000300 (3)],    Andlang burnan on þone mearc hagan up be hagan oþ þa gedela west on gerihta to snawes mere wuestewearden þonne on þone ho foreweardne þonne on gerihta ofer ufandune þonne on þone gyrd weg andlang weges on þone meac hagan.
[000400 (6)],    Up be hagan on weorþe hege forð be þan hege on weorþ apeldre þonne on per leage þonne suþ to efes on þone ealdan hrunan þæt to hagan op be hagan to eceles hamme þonne a be hagan to mylen felda.
[000500 (9)],    Þonne a be hagan to mintfelda þonon on gerihta on mintbyrge þær to burnan &lang burnan on þa flexwaran on þone hagan þonon ut on þone felde<../images/tbar.gif>ut to milgemete þonon þa ferhþe forwearde þonon to þære twicene.
[000600 (13)],    Andlang twicene on weahhes fen þonon ut on wegan andlang wegan on pyrianford & si þæt wuda hyrþsum into pyrianforda.
