id,text
[000100 (1)],    Ærest of Twyforde suðward andlang Auene ðære ea swa ðæt mynstre stondeð ofer Alne stream on Cronochomme.
[000200 (3)],    And swa andlang ea on ða mærdic Fledanbyrig gemære.
[000300 (4)],"    Andlang ðære dic swa upp on ða ecgge, and swa þurh ðone graf be ðan aldan swinhagan."
[000400 (6)],    Ðæt upp on Lencdune.
[000500 (6)],    Swa andlang dune ðæt cymð ðær Lencgemeru and Herefordtunes landgemæru togædere liggað æt Wænnancumbe.
[000600 (8)],    Ðæt swa dun on ðone fulan broc.
[000700 (9)],    Andlang broces on ðæt lytle sic.
[000800 (10)],    Andlang sices on Auene.
[000900 (10)],    Upp andlang Auene ðæt on blacan pol.
[001000 (11)],"    Of ðam poole up on ða ecgge, on piceres homm."
[001100 (12)],    Of piceres homme swa on ðæt lytle sceard ðæt is on burhhlinceas.
[001200 (13)],    Of ðam hlincean on Bugghilde stræte.
[001300 (14)],"    Ðanon on þegna dene, on stanihtan hyll."
[001400 (15)],    Of ðam hylle on cyricstige.
[001500 (15)],    Of cyricstige on ða blacan þyrnan on easthalfan lytel.
[001600 (17)],"    Of ðære þyrnan on ðone blacan pytt, andlang furena on mærðyrnan."
[001700 (18)],    Ðanon on mærdic.
[001800 (18)],    Of mærdic on ða wæterswylian.
[001900 (19)],    Of ðære swylian on mærðorn.
[002000 (19)],    Of ðam þorne on ða lytlan grenan dic.
[002100 (20)],    Of ðare dic on Hunigburnan.
[002200 (21)],    Swa andlang streames on ðam stanihtan ford.
[002300 (22)],    Eft on Bugghilde stret.
[002400 (22)],    Of ðære stret westward on ælfstanes byriels.
[002500 (23)],    Of ðam byrielse andlang sices on bunewyrðe.
[002600 (24)],    Of bunewyrðe on Hunigburnan.
[002700 (25)],    Of Hunigburnan on mæredic.
[002800 (25)],    Of mæredic on Baggenbeorge.
[002900 (26)],    Of Baggenbeorge eft on mæredic.
[003000 (26)],    Of mæredic on Wynburnan.
[003100 (27)],    Of Wynburnan onlong heafde on ðam beadan þorn.
[003200 (28)],    Of ðam þorne on wudanhomme.
[003300 (29)],    Of wudamhomme on polðorne.
[003400 (29)],    Of polðorne on Fugelmære.
[003500 (30)],    Of Fugelmære on mærebroc.
[003600 (30)],    Onlong broces on ða blacan þyrne.
[003700 (31)],    Of ðere þyrne onlong broces on burhwyllen.
[003800 (32)],    Of burwylle on burwealles.
[003900 (33)],    Onlong wealles eft on þeoua dene.
[004000 (33)],    Of þeoua dene on Eadelming garan.
[004100 (34)],    Of Ealdelming garan bi Buggild strete ðe men nonesmonneslond nemmeð.
[004200 (35)],    Ðonen onlong weige west to ðe beorges.
[004300 (36)],    Of ðen beorges on pycrestan.
[004400 (37)],    Of pycrestane onlong walles on Cadanmynster.
[004500 (38)],    Of Cadanmynstre on blacan pytt.
[004600 (38)],    Of ðam pytte onlong riðies on wyllersege.
[004700 (39)],    Of wylleresegge on sandbroc.
[004800 (40)],    Of sandbroc onlong furena on hegwege.
[004900 (41)],    Of hegewege on norðom.
[005000 (41)],    Of norðomme on bordriðig.
[005100 (42)],    Ðanon on brerðyrnan.
[005200 (42)],    Of ðere þyrna on hecanige.
[005300 (43)],    Of hecanige on Bedeswyllan.
[005400 (43)],    Of ðe wyllen innan ða lytlam þyrnan on westhalue piccedeshoo.
[005500 (44)],    Of ðere þyrnan on mærðorn.
[005600 (45)],"    Of mærðorne on Weremundes lawe, onlong furena on Weremodes lawe."
[005700 (46)],    Ðonan on Egsanmore on ðe grendic.
[005800 (47)],    Of ðere dic on bradan mere.
[005900 (48)],    Of bradan mære on ðone lytle grene bearh.
[006000 (49)],    Ðonan onlong heafde upon langendune.
[006100 (49)],    Swa on ða ealda foxhole.
[006200 (50)],"    Of ðane hole onlong hricgweges on ða æðenan byrielse, on Ealhmunding wege."
[006300 (51)],    Of ðam wege eft ongean æfter dune ðæt it cymð upp on ðone cnolle.
[006400 (53)],    So æfter furlange ðæt it cymð on ða fyrdstræt.
[006500 (54)],    Swa æfter stræte ðat hyt cymð on potingdun.
[006600 (55)],    Ðanon on þrittig æcera.
[006700 (55)],    Of ðam þrittig æcera on ricwege.
[006800 (56)],    Of ricwege on ða ealdan dic.
[006900 (56)],    Onlong dices ðæt on Esigburnan.
[007000 (57)],    Of Esigburnan upp to ðere ealdan dic.
[007100 (58)],    Of ðere dic on Wylihtmede.
[007200 (58)],    Of ðer mæde on mærebroc.
[007300 (59)],    Onlong broces on domnipol.
[007400 (59)],    Of ðe pole on Ellesbeorh.
[007500 (60)],    Of ðam beorohge on merwyllan.
[007600 (61)],    Of merwylle ðæt hyt cymð eft on geriht on Auene.
