id,text
[000100 (1)],    Ðys sind ða londgemære to Bennincwyrðe.
[000200 (2)],"    Ærest of periride on mærdene, of mærdene ðæt innan ðone bradan hamm of ðe hamme ðæt on hæðen beorgas."
[000300 (4)],    Of ðam beorge ðæt on ða heafde ðæt it cymð on ða fildene stret.
[000400 (6)],    Æfter stræte ðæt it cymð on ðe dic.
[000500 (6)],    Of ðere dic ðæt it cymð an anmod swa æfter ðam furlunge ðæt it cymð uppon eanandune.
[000600 (8)],    Swa æfter heafdan ðæt it cymð on ða heðenan byrgena.
[000700 (9)],    Æfter dune ðæt it cymð up on ðone cnoll.
[000800 (10)],    Swa æfter ðam furlunge ðæt it cymð on ða fyrdstret.
[000900 (11)],    Swa æfter stræte ðæt it cymð on Pottingtun.
[001000 (12)],    Of ðam tune ðæt on þrittegan æceran.
[001100 (12)],    Of ðam aceran on ricwege.
[001200 (13)],    Swa æfter wege ðæt innan pederedan.
[001300 (14)],    Swa æfter pederedan ðæt innan Afene.
[001400 (15)],    Swa æfter stræme ðæt it cymð on pedirid.
