id,text
[000100 (1)],    Ðis synd ðæs landes gemære æt Hamanfuntan.
[000200 (2)],    Ærest ðær Ocærburna utt scyt on sæ.
[000300 (3)],"    Ðæt upp andlang Ocærburnan to halegan mærsce easteweardan, andlang brocæs, ðanon ofær ða stræt æt Utelanbricge."
[000400 (5)],    Ðænna ofær ða stræt twam læs ðe þryttig gyrda.
[000500 (6)],    Andlang burnstowæ ðænnæ ðær east to stucan wisc æt ðæne mearcbeorh.
[000600 (8)],    Ðonnæ andlang paðæ on þornwic eastæweardæ to ðam hwitan stoccæ.
[000700 (9)],    Ðonnæ of ðam hwitan stoccæ þurh ðæt wudu gehæg to neddan leage to ðam hærepaðe.
[000800 (11)],    Ðonnæ andlang greddan leagæ ðe ðam wæge of ða norðæfes.
[000900 (12)],    Ðonne andlang hærpaðes to dunneburnan on ðonæ wearrihtan stocc.
[001000 (13)],"    Andlang dundeburnan on ðonæ eastheræpað on ðæ twa æc ðæ standað in on ðær paðæ, ðæt andlang hagan on Lamhyrstæ eastaweardæ on ywwara hagan."
[001100 (16)],    Andlang iwwara hagan on ðonæ ifihtan stoc.
[001200 (17)],    Of ðam stoccæ suð bæ riht wegæ oðða hyrnan.
[001300 (18)],    Andlang iwwara hagan suð and east on ða burnstowæ.
[001400 (19)],"    Of ðære burnstowæ andlang hagan on Lamhyrstæ on Hærredes leage wæstæweardæ, ðonne bæ leage on ðonæ stocc ðæ ðæt hlidgeat on hangodæ."
[001500 (22)],    Of ðam stoccæ utt þurh beorhlea middeweardnæ on ðonæ ealdan æsc.
[001600 (23)],    Of ðam æscce syð ofær ðonæ weg on ða apoldræ.
[001700 (24)],    Of ðære apoldran on ðæne hwitan hæsl.
[001800 (25)],"    Of ðam hæsle on hnutwic eastæweardæ andlang grænan wæges oð Wuhinglandæs hyrnan, ðæt west andlang wæges oðða wæstran Wuhinglandes hyrnan."
[001900 (28)],    Syð ðonnæ andlang hægerewæ oð Imbæs dæl.
[002000 (29)],"    Of Imbæs dællæ andlang hægeræwæ utt on Limburnan, ðonnæ andlang Limburnan utt on sæ."
