id,text
[000100 (1)],faceðæcela.
[000200 (2)],crisostomusgyldenmuþa.
[000300 (3)],friuolaleasunga.
[000400 (4)],pinofurwuda.
[000500 (5)],culinecicene.
[000600 (6)],in obicein ofre.
[000700 (7)],biforestwyfealde.
[000800 (8)],portedura.
[000900 (9)],pollinesmedman.
[001000 (10)],uilloflies.
[001100 (10)],umbonerondbege.
[001200 (11)],in meracum nectarin winlice swetnesse.
[001300 (12)],flauentes aristasða fealwendan eglan.
[001400 (13)],nothushornungbroþor.
[001500 (14)],in ostro tirioin tiriscum godwebbe.
[001600 (15)],lyrico plectrohearplecum slege.
[001700 (16)],arboreo conowudu hætte.
[001800 (17)],oliferis uasiseleberendum fatum.
[001900 (18)],hereserfweard.
[002000 (19)],morbigeni caminiþæs aldberendan ofnes.
