id,text
[000100 (1)],"    Mec on þissum dagum deadne <ofgeafun> fæder ond modor; ne wæs me feorh þa gen, ealdor in innan."
[000200 (3)],"    Þa mec <an> ongon, welhold mege, wedum <þeccan>, heold ond freoþode, hleosceorpe wrah <swa> arlice swa hire agen bearn, oþþæt ic under sceate, swa min gesceapu wæron, ungesibbum wearð eacen gæste."
[000300 (9)],"    Mec seo friþe mæg fedde siþþan, oþþæt ic aweox, widdor meahte siþas asettan."
[000400 (11)],"    Heo hæfde swæsra þy læs suna ond dohtra, þy heo swa dyde."
