id,text
[000100 (1)],"    Þa wæs agangen fram Cristes acennednesse cccc & xciiii wintra, þa Cerdic & Cynric his sunu coman up æt Cerdices oran mid fif scipun."
[000200 (4)],    Ond se Cerdic wes elesing.
[000300 (4)],    Elesa gewising.
[000400 (4)],    Gewis wiging.
[000500 (5)],    Wig freawining.
[000600 (5)],    Frawine freoðagaring.
[000700 (6)],    Freoðagar bronding.
[000800 (6)],    Brond beldæging.
[000900 (7)],    Beldæg <woldening>.
[001000 (7)],    Þes ymb vi gear þes ðe hy up coman hy geeodan westseaxna rice & þæt wæron þa ærestan cynegas þe westseaxna land on wealdum geeodon.
[001100 (10)],"    Ond he hæfde þæt rice xvi gear, þa he gefor."
[001200 (11)],    Þa feng Cynric his sunu to þam rice & heold xxvi wintra.
[001300 (13)],"    Þa he forðferde þa feng Ceaulin his sunu to & heold vii gear, þa he gefor."
[001400 (14)],    Þa feng Ceolulf to his broðor & he ricsode xvii gear.
[001500 (16)],    Heora cyn geð to Cerdice.
[001600 (16)],"    Þa feng Cynegils Ceolwulfes broðorsunu to rice & heold xxxi wintra, & he onfeng ærest fulwihte westseaxna cyninga."
[001700 (19)],    & þa feng Cenwealh to & heold xxxi wintra & se Cenwalh wæs Cynegilses sunu.
[001800 (21)],    Ond þa heold seaxburh his cwen an gear þæt rice æfter him.
[001900 (22)],    Þa feng æscwine to rice þes cyn gæð to Cerdice.
[002000 (23)],    Ond he heold ii gear.
[002100 (24)],    Þa feng Centwine.
