id,text
[000100 (1)],    Ðys sind þa lande gemære to Ambreslege.
[000200 (1)],    Ærest up of firne on Lincumbe.
[000300 (2)],    Of Lincumbe on æscenege.
[000400 (2)],    Of æscenege on mære dic.
[000500 (3)],    Andlang dice on geofandene.
[000600 (3)],    Of geofandene to þam blaca more.
[000700 (4)],    Of ðam more to merbroc.
[000800 (4)],    Andlang merbroces on uffan heales.
[000900 (4)],    Of uffanheale on Douerdale.
[001000 (5)],    Andlang Douerdæles on salewerpæn.
[001100 (6)],    Andlang salewerpæn ut on sæfyrne.
[001200 (6)],    Up andlang sæfyrne.
[001300 (6)],    Þæt eft up on Lincumbe þær hit ær aras.
