id,text
[000100 (1)],    Ðis sinden þa landan gemæro to beorhtwaldingtune.
[000200 (2)],    Ærest of curspandic up on acdene of acdene to wigferþis leage of wigferðis leage to pippes leage of pippes leage norð &lang hagan to þan brandan stane of þam stane to dunian mere <þonen> þonon norð rihte to hæsel lea.
[000300 (5)],    Of hæsel lea þest rihte to borsenan beorge of ðam beorge west riht on þone haranstan of ðan stane norð rihte to stan crundele þonnan &lang weges to þam langan treowe of þam trowe &lang weges to mærfloden þonne giet &lang weges þæt eft on cyrspandic.
