id,text
[000100 (1)],    Ærest of cranmerc on þone ðorn.
[000200 (1)],    Of ðam ðorne andlang stræt on þonne blacan pyt.
[000300 (2)],"    Of ðam blacan pytte on ða stræt, andlang strete on stodfald."
[000400 (3)],"    Of ðam stodfalde on þone litlan broc, andlang broces on blacan mere."
[000500 (4)],"    Of blacan mere on þæt slæd, andlang slædes on blacan mor."
[000600 (5)],"    Of þam more on þet slæd, andlang slædes<../images/tbar.gif>hit cymð on eardes treow."
[000700 (6)],"    Of þam treowe on ða sealt stræt, andlang þere salt strete on wilmanford."
[000800 (7)],    Of wilmanforde on earnes hlewe.
[000900 (7)],    Of earnes hlewe on Cyneuerðæs pyt.
[001000 (8)],"    Of Cyneuerðæs pitte, andlang heafdon on hwitan dic, andlang hwitan dic on ða holan furh."
[001100 (9)],    Of ðære holan furh<../images/tbar.gif>on þene hricweg.
[001200 (10)],"    Andlang weges on clæihæma broc, andlang broces<../images/tbar.gif>eft on cranmere."
