id,text
[000100 (1)],    Gelyfest ðu on þone ælmihtig fæder & sunu and þam halgan gast?
[000200 (2)],    Ic gelyfe.
[000300 (3)],    <For> <englas> hio awurpon of heofenas.
[000400 (4)],    <Heald> þa xii ymbren dagas þe on twelf <monðum>.
[000500 (6)],    & <bebeorh> wið <lyblacas> <attorcræftas> & <dearngelere> & <twispræcnes> & gifernes <oþres>.
[000600 (13)],    <&> <lufa> <þinne> <drihten> <&> beo <milde> <manþwære> <ælmesgeorn>.
[000700 (19)],    Þine teoþunge do to godes cyrican & <earmum> <&> lufa cirican georne <god> <mild> <&> þu most mid <him>.
[000800 (22)],    <&> ic <bidde> <þæt> <þu> <geworht> <betere> <beforan> me <anum> <þonne> eft on domes dæge beforan <gode> <beforan> <eallum> <hefenwarum> <&> <eorðwarum> <&> <eac> <hellwarum>.
