id,text
[000100 (1)],    Ðis is þara XXV hida landboc æt fifhidan ðe Eadgar cyng gebocede Gode and Sancta Marian in to Abbandune on ece yrfe.
[000200 (4)],    Ðis synd þara XXV hida landgemæra to fifhidan ærest of eoccan on seortan dic of sceortan dic on ælfþryðe dic &lang dic on þæne mor.
[000300 (6)],    Of þam more on ða ealdan dic of þære dic on temese streame on<../images/tbar.gif>riðig &lang riðiges on wase of wasan on cyddesige ofer rigedune on wattes wege.
[000400 (9)],    Of þæm wege on mæne mor.
[000500 (9)],    Of ðam more<../images/tbar.gif>eft on eoccan.
