id,text
[000100 (465.1)],III KALENDAS OCTOBRIS DEDICATIO ECCLESIE SANCTI MICHAHELIS ARCHANGELI.MANEGVM IS CVÐ seo halige stow sancte michaeles on þære dune þe is gehaten garganus. seo dun stent on campania landes gemærum. wið ðære sæ adriaticum twelf mila on upstige fram anre byrig þe is gehaten sepontina. of þære stowe wearð aræred þyses dæges freols geond geleaffulre gelaþunge.
[000200 (465.8)],    Ðær eardode sum þurhspedig man garganus gehaten: of his gelimpe wearð seo dun swa geciged: Hit gelamp þa þa seo ormæta micelnys his orfes on þære dune læswede þæt sum modig fear wearð angencga. and þære heorde dræfe oferhogode.
[000300 (465.12)],    Hwæt se hlaford þa garganus gegadrode micel meniu his incnihta & þone fear gehwær on þam westene sohte. & æt nextan hine mette standan uppon þam cnolle þære healican dune æt anes scræfes ingange. & he þa mid graman wearð astyred. hwi se fear angencga his heorde forsawe. & gebende his bogan. & mid geættredre flan hine ofsceotan wolde: ac seo geættrede fla wende ongean swilce mid windes blæde aþrawen. & þone ðe hi sceat þærrihte ofsloh.
[000400 (466.19)],    His magas þa & necheburas wurdon þearle þurh ða dæde ablicgede. & heora nan ne dorste þam fearre genealæcan.
[000500 (466.20)],    Hi þa heora biscop rædes befrunon hwæt him be þam to donne wære.
[000600 (466.21)],    Se biscop þa funde him to ræde þæt hi mid þreora daga fæstene swutelunga þæs wundres æt gode bædon.
[000700 (466.23)],    Ða on þære þriddan nihte þæs fæstenes. æteowde se heahengel michael hine sylfne þam biscope on gastlicere gesihðe. þus cweþende.
[000800 (466.25)],    Wislice ge dydon þæt ge to gode sohton þæt ðæt mannum digle wæs.
[000900 (466.26)],    Wite þu gewislice þæt se man þe mid his agenre flan ofscoten wæs. þæt hit is mid minum willan gedon.
[001000 (466.28)],    Ic eom michahel se heahengel godes ælmihtiges: & ic symle on his gesihðe wunie.
[001100 (466.29)],    Ic secge þe þæt ic þa stowe þe se fear geealgode synderlice lufie. & ic wolde mid þære gebicnunge geswutelian. þæt ic eom þære stowe hyrde. & ealra þæra tacna þe ðær gelimpað. ic eom sceawere & gymend.
[001200 (466.32)],    & se heahengel mid þysum wordum to heofonum gewat.
[001300 (466.34)],    Se biscop rehte his gesihþe þam burhwarum & hi ða syððan gewunelice þyder sohton. & þone lifiendan god. & his heahengel michael geornlice bædon.
[001400 (466.36)],    Twa dura hi gesawon on þære cyrcan. & wæs seo suðduru sume dæle mare. fram þære lagon stæpas to þam westdæle: ac hi ne dorston þæt halige hus mid ingange geneosian: ac dæighwomlice geornlice æt þære dura hi gebædon.
[001500 (466.39)],    Þa on ðære ylcan tide neapolite. þe wæron þa gyt on hæþenscype wuniende. cwædon gefeoht togeanes þære burhware sepontiniscre ceastre. þe ða halgan stowe wurþodon. & togeanes beneuentanos.
[001600 (466.42)],    Hi þa mid heora biscopes mynegungum gelærde bædon þreora daga fæc. þæt hi binnon þam ðrim dagum mid fæstene þæs heahengles michaheles fultum bædon.
[001700 (466.45)],    Ða hæþenan eac swilce mid lacum & offrungum heora leasra goda gecneordlice munde & gescyldnysse bædon.
[001800 (466.47)],    Efne ða on þære nihte þe ðæt gefeoht on merigen toweard wæs æteowde se heahengel michahel hine sylfne þam biscope. & cwæð. þæt he heora bena gehyrde. & his fultum him behet & het ðæt hi ane tid ofer undern hi getrymedon ongean heora feondum.
[001900 (467.50)],    Hi ða on merien bliðe & orsorge þurh ðæs engles behate. & mid truwan his fultumes ferdon togeanes þam hæðenum.
[002000 (467.52)],    Ða sona on angynne þæs gefeohtes wæs se munt garganus biuiende mid ormætere cwacunge. & micel liget fleah of þære dune swilce flan. wið ðæs hæþenan folces. & þæs muntes cnol mid þeosterlicum gehnipum eall oferhangen wæs.
[002100 (467.56)],    Hwæt ða hæðenan þa forhtmode fleames cepton. & gelice hi wurdon mid þam fyrenum flanum ofscotene & gelice mid þæra cristenra wæpnum hindan ofsette: oþ ðæt hi heora burh neapolim samcuce gesohton.
[002200 (467.59)],    Soðlice þa ðe þa fræcednyssa ætflugon. oncneowon þæt godes engel þam cristenum to fultume becom: & hi ðærrihte heora swuran criste underþeoddon. & mid his geleafan gewæpnode wurdon.
[002300 (467.62)],    Witodlice þæs wæles wæs geteald six hund manna: mid þam fyrenum flanum ofscotene.
[002400 (467.63)],    Ða cristenan ða sigefæste mid micelre bylde & blisse ham gecyrdon. & þam ælmihtigan gode. & his heahengle michahele heora behat to þam temple gebrohton.
[002500 (467.65)],    Ða gesawon hi ætforan þære cyrcan norðdura on þam marmanstane swilce mannes fotlæsta fæstlice on þam stane geþyde: & hi þa undergeaton þæt se heahengel michahel þæt tacen his andwerdnysse geswutelian wolde.
[002600 (467.68)],    Hi ða sona þærofer cyrcan arærdon & weofod. þam heahengle to lofe þe him on þam stede fylstende stod.
[002700 (467.71)],    Ða wearð micel twynung betwux þære burhware. be þære cyrcan. hwæðer hi ineodon. oððe hi halgian sceoldon.
[002800 (467.72)],    Hwæt hi ða on þam eastdæle þære stowe cyrcan arærdon: & þam apostole petre to wurðmynte gehalgodon. & þærbinnon sancte marian. & iohanne þam fulluhtere weofod asetton.
[002900 (467.75)],    Þa æt nextan sende se biscop to þam papan. & hine befran hu him ymbe þæs heahengles getimbrunge to donne wære.
[003000 (467.77)],    Se papa þysum ærende. þus geandwyrde.
[003100 (467.77)],    Gif mannum alyfed is þæt hi ða cyrcan þe se heahengel sylf getimbrode halgian moton. þonne gebyrað seo halgung on þam dæge þe he eow sige forgeaf þurh unnan þæs ælmihtigan.
[003200 (468.80)],    Gif þonne hwæt elles þam engle gelicige axiað his willan on þam ylcan dæge.
[003300 (468.81)],    Ða ða ðeos andswaru þam biscope gecyd wæs. þa bead he his ceastregewarum þreora daga fæsten. & bædon þa halgan þrynnysse þæt him wurde geswutelod sum gewis beacn ymbe heora twynunge.
[003400 (468.84)],    Se heahengel ða michahel on þære þriddan nihte þæs fæstenes cwæð to þam biscope on swefene.
[003500 (468.86)],    Nis eow nan neod þæt ge þa cyrcan halgian: ðe ic getimbrode.
[003600 (468.86)],    Ic sylf hi getimbrode & gehalgode.
[003700 (468.87)],    Ac gað into þære cyrcan unforhtlice. & me ætstandenum. geneosiað þa stowe æfter gewunan mid gebedum. & þu ðær tomerigen mæssan gesing: & þæt folc æfter godcundum þeawe to husle gegange: and ic þonne geswutelige hu ic þa stowe þurh me sylfne gehalgode.
[003800 (468.92)],    Hi ða sona ðæs on merigen þider mid heora offrungum bliðe comon & mid micelre anrædnysse heora bena on þam suðdæle ineodon.
[003900 (468.94)],    Efne þa hi gesawon an lang portic on þam norðdæle. astreht fornean to þam marmanstane þe se engel on standende his fotlæste æteowde.
[004000 (468.96)],    On þam eastdæle wæs gesewen micel cyrce to þære hi stæpmælum astigon.
[004100 (468.97)],    Seo cyrce mid hire portice mihte fif hund manna eaðelice befon: on hyre rymette.
[004200 (468.98)],    & þær stod geset wið middan þæs suðwages arwurðe weofod mid readum pælle gescryd.
[004300 (468.100)],    Næs þæt hus æfter manna gewunan getimbrod: ac mid mislicum torrum gehwemmed. to gelicnysse sumes scræfes.
[004400 (468.101)],    Se hrof eac swilce hæfde mislice heahnysse: on sumre stowe hine man mihte mid heafde geræcan. on sumre mid handa earfoðlice.
[004500 (468.103)],    Ic gelyfe þæt se heahengel mid þam geswutelode þæt he miccle swiþor sohte. & lufode þære heortan clænnysse: þonne ðæra stana frætwunge.
[004600 (468.105)],    Ðæs muntes cnol wiðutan is sticmælum mid wuda oferweaxen: & eft sticmælum mid grenan felda oferbræded.
[004700 (468.108)],    Soðlice æfter þære mæssan & þam halgan huselgange cyrde gehwa mid micclum gefean to his agenum.
[004800 (468.109)],    Se biscop þa þær godes þeowas gelogode. sangeras & ræderas. & sacerdas: þæt hi dæghwomlice þær godes þenunge mid þæslicere endebyrdnysse gefyldon. & him þær mynsterlic botl timbrian het.
[004900 (469.112)],    Nis þeahhwæðere nan man to þam dyrstig þæt he on nihtlicere tide binnon þære cyrcan cuman durre: ac on dægrede þa godes þeowas. þærbinnon godes lof singað.
[005000 (469.114)],    Of þam hrofstane on norðdæle þæs halgan weofodes yrnð dropmælum swiðe hluttor wæter & wered: þæt gecigdon þa ðe on þære stowe wunedon stillam. þæt is dropa.
[005100 (469.117)],    Ðær is ahangen sum glæsen fæt mid sylfrenre racenteage: & þæs wynsuman wætan onfehð.
[005200 (469.118)],    Ðæs folces gewuna is þæt hi æfter þam halgan huselgange stæpmælum to þæm fæte astigaþ & þæs heofonlican wætan onbyrigað.
[005300 (469.120)],    Se wæta is swiðe wynsum on swæcce. & swiðe halwende on hrepunge.
[005400 (469.121)],    Witodlice forwel menige æfter langsumum fefere & mislicum metrumnyssum þurh ðyses wætan þigene hrædlice heora hæle brucað.
[005500 (469.123)],    Eac swilce on oþrum gemetum ungerime untruman þær beoð oft & gelome gehælede. & menigfealde wundra þurh ðæs heahengles mihte þær beoð gefremode. & þeah swiðost on þisum dæge. þonne ðæt folc of gehwylcum leodscipe þa stowe geneosiað. & þæs engles andwerdnys mid sumum gemete þær swiþor bið: þæt ðæs apostoles cwyde beo lichamlice gefylled. þæt þæt he gastlice gecwæð.
[005600 (469.129)],    He cwæð þæt englas beoð to þeninggastum fram gode hider on worulde asende. þæt hi beon on fultume his gecorenum. þæt hi þone ecan eþel onfon mid him.
[005700 (469.133)],EVANGELIVM.
[005800 (469.134)],Acesserunt ad iesum discipuli dicentes. quis putas maior est in regno caelorum et reliqua.
[005900 (470.136)],    Ðis dægþerlice godspel cwyð þæt drihtnes leorningcnihtas to him genealæhton þus cweþende.
[006000 (469.137)],    La leof hwa is fyrmest manna on heofonan rice?
