id,text
[000100 (1)],    Ðis sanden þe landimaren at uppidele.
[000200 (1)],"    Of pidelen streame, on hlosstedes crundles suð ecge of þane crundle, on þat mere sled."
[000300 (3)],    Of þat mere slede on ðeo herepaþe.
[000400 (3)],"    Anlang herepaþes, on mearhhilde mere."
[000500 (4)],"    Of mearhhilde mere, on þane haþene berielese on midde þane punfald, of þanne punfalde, on pidelenstream."
[000600 (6)],    Of pidelenstreme anlang burnstowe on gretenlinkes.
[000700 (6)],"    Suth ecge of þane gretenlinke, on chellenberghe,<../images/tbar.gif>eft on pidelen streame."
[000800 (8)],    And se made be frome þat to þanne tune ibereth.
