id,text
[000100 (1)],"In nomine Domini.Ic Lulle & ecke þa hisetnesse þam hiwm to sancte Augustine for hi & for hire bearn libbinde, & for hire freond & for alle þa þe hi forþingie."
[000200 (4)],"    Þan is þis seo isetnesse of NatindoneXXXhambre clenes meltes, & twa fodre wodes, &iiiiwetheres, & a weimel cheses, & a sester hingges &Vgys, &Xhenfugeles, &l Chwetene sura lhafa, &XXclanra hlafa."
[000300 (8)],"    Ðonne is þis þara gode lean þæt þa hiwen don scealon, þæt hi agan ealle to cyrican & gesingan hore psaltere sealme elce dage þe hia þa god þicgen & ælce messeprest ane messe, and ælce dage hirepater noster& se þe þis heade god hine healde."
