id,text
[000100 (1)],    Ærest of penpoll lannmoren up bi þam broce oð hræt winiau þonne forð andlang broces to pen hal þonne to maen wynn þonne to oðrum pen hal þonne adune bi þam broce to sæ.
[000200 (4)],    Ðis sint þa gemæro to trefnæwð ærist fram fæle on gerihte to penn beþow to þam pytte þonne on gerihte ofer þa læge to þam oðrum pitte to tref celestes gemære þonne forð to caer uureh þonne on gerihte to penn hal weðoc.
[000300 (7)],    Þonne to maenber þonne on gerihte to pen hal þonne forð to carn winnioc þonne adune to pen hal þonne adune be þære riðe to fæle.
[000400 (10)],    Ðis synt þa gemæro to tref celest þære are gyrde æryst fram fæle þonne up bi þam broce to þæs wylles hæfde þonne forð to caer lydan þonne to cayr uureh þonne lið þis landgemære.
[000500 (12)],    To trefnewið lande.
