id,text
[000100 (1)],    Þis his þare X hida boc be wilig þe Eadmund cing gebocade Ordwolde his þægne on eche yrfe.
[000200 (3)],    Þis syndan þa landgemæro æt Wilig.
[000300 (4)],    Ærest of Wilig staþe up andlang maerfyrh on þane wonhlinc.
[000400 (4)],    Of þæm hlince to wege.
[000500 (5)],    Andlang weges to mærhlince.
[000600 (5)],    Andlang mærhlinches to stancumbe.
[000700 (6)],    Þonen andlang stancumbes.
[000800 (6)],    Of stancumbe up ofer þa eorþburg.
[000900 (7)],    Fram þære eorþburg to wulfflodan.
[001000 (7)],    Þonen ændlang þare dic from wulfflodan to teofuntinga gemære þonne andlang þare dic oþ sidan hamme on þare hina gemære on ðone stanhlinc.
[001100 (10)],    Þonne of stanhlince wiþ westan hæþslæd.
[001200 (10)],    Þonne of hæþslæde on billan dene on þone mærhlinc þonne andlang mærhlinces oþ þara þreora æcera heafod þonne eft be þare þreora æcera heafdum on oþerne mærhlinc.
[001300 (13)],    Þonne andlang þæs mærhlinces oþþe wellbærninge &lang weges oþ þæt hit cumþ to þam herpaþe.
[001400 (15)],    Þonne ofer ðone herpaþ & niþer ofer þone mersc þæt hit cumþ on wilig stæþ þonne niþer &lang stremes on butan þone horsgærstun þæt hit sticað on þære ea sulfre þonne andlang ea oþ þat hit cumþ to þam eastlandgemære æt mærfurh þæt hit ær onfeng.
[001500 (20)],    And þis is þæt landgemære æt brembelcumbe æt þam wicum þe into wilig hurþ.
[001600 (21)],    Ærest æt punteles treowe.
[001700 (21)],    Þonne &lang weges þæt ofer tilmannes dene.
[001800 (22)],    Þonne forð be þam urþlonde þæt hit sticaþ on æþerices gemære on þam wege.
[001900 (23)],    Þonne andlang weges þæt hit sticaþ on hunan wege.
[002000 (24)],    Þonne &lang hunan weges þat hit cumþ to mærdic.
[002100 (25)],    Þonne &lang mærdic þat eft to punteles treowe.
[002200 (26)],    And se mæd æt dutten hamme hurþ into wilig & se hage æt wiltune þe hurþ into wilig & þæs tunes heges bot on grafan lea &<../images/tbar.gif>þridde treow on monnes pol bære.
[002300 (28)],    Þis hurþ eal in to wilig to Ordwaldes tune.
