id,text
[000100 (1)],    Be Ines domum.
[000200 (1)],    Be Godes ðeowa regole.
[000300 (2)],    Be cildum.
[000400 (3)],    Be sunnan dæges weorcum.
[000500 (4)],    Be ciricsceattum.
[000600 (5)],    Be ciricsocnum.
[000700 (6)],    Be gefeohtum.
[000800 (7)],    Be stale.
[000900 (8)],    Be ryhtes bene.
[001000 (9)],"    Be ðam wrecendan, ær him ryhtes bidde."
[001100 (10)],    Be reaflace.
[001200 (11)],    Be ðam monnum þe hiora gelondan bebycggað.
[001300 (12)],    Be gefongenum ðeofum.
[001400 (13)],    Be ðam ðe hiora gewitnessa beforan biscepe aleogað.
[001500 (14)],    Be hloðe.
[001600 (15)],    Be herige.
[001700 (16)],    Be ðeofslege.
[001800 (17)],    Be forstolenum flæsce.
[001900 (18)],    Be cirliscum ðeofe gefongenum.
[002000 (19)],    Be cyninges geneate.
[002100 (20)],    Be feorrancumenum men butan wege gemetton.
[002200 (21)],    Be swa ofslegenes monnes were.
[002300 (22)],    Be ðon ðe monnes geneat stalige.
[002400 (23)],    Be elðeodies monnes slege.
[002500 (24)],    Be witeðeowes monnes slege.
[002600 (25)],    Be ciepemonna fore uppe on londe.
[002700 (26)],    Be fundenes cildes fostre.
[002800 (27)],    Be þon þe mon dearnenga bearn gestriene.
[002900 (28)],    Be ðeofes onfenge æt ðiefðe.
[003000 (29)],    Be ðon þe mon sweordes onlæne oðres ðeowe.
[003100 (30)],    Be ðon þe cierlisc mon flieman feormige.
[003200 (31)],"    Be ðon þe mon wif bycge, & þonne sio gift tostande."
[003300 (32)],    Be Wilisces monnes londhæfene.
[003400 (33)],    Be cyninges horsweale.
[003500 (34)],    Be monslihte.
[003600 (35)],"    Be þeofslihte, þæt he mote aðe gecyðan."
[003700 (36)],"    Be ðeofes onfenge, & hine ðonne forlæte."
[003800 (37)],    Be cirlisces monnes ontygnesse æt ðiefðe.
[003900 (38)],"    Be þon ðe ryhtgesamhiwan bearn hæbben, & þonne se wer gewite."
[004000 (39)],    Be unalefedum fære from his hlaforde.
[004100 (40)],    Be ceorles weorðige.
[004200 (41)],    Be borges ondsæce.
[004300 (42)],    Be ceorles gærstune.
[004400 (43)],    Be wuda bærnette.
[004500 (44)],    Be wuda onfenge butan leafe.
[004600 (45)],    Be burgbryce.
[004700 (46)],    Be stæltyhtlan.
[004800 (47)],    Be ðon þe mon forstolenne ceap befehð.
[004900 (48)],    Be witeþeowum men.
[005000 (49)],    Be unaliefedes mæstennes onfenge.
[005100 (50)],    Be gesiðcundes monnes geþinge.
[005200 (51)],    Be ðon ðe gesiðcund mon fierd forsitte.
[005300 (52)],    Be diernum geðinge.
[005400 (53)],    Be forstolenes monnes forefonge.
[005500 (54)],    Be werfæhðe tyhtlan.
[005600 (55)],    Be ewes weorðe.
[005700 (56)],    Be gehwelces ceapes angelde.
[005800 (57)],    Be cierlisces monnes stale.
[005900 (58)],    Be oxan horne.
[006000 (59)],    Be cuus horne.
[006100 (60)],    Be hyrgeohte.
[006200 (61)],    Be ciricsceatte.
[006300 (62)],    Be þon þe mon to ceape fordræfe.
[006400 (63)],    Be gesiðcundes monnes fære.
[006500 (64)],    Be þon þe hæfð XX hida londes.
[006600 (65)],    Be X hidum.
[006700 (66)],    Be III hidum.
[006800 (67)],    Be gyrde londes.
[006900 (68)],    Be gesiðcundes monnes dræfe of londe.
[007000 (69)],    Be sceapes gonge mid his fliese.
[007100 (70)],    Be twyhyndum were.
[007200 (71)],    Be wertyhtlan.
[007300 (72)],    Be wergeldðeofes forefonge.
[007400 (73)],    Be anre nihtes ðiefðe.
[007500 (74)],    Be ðon ðe ðeowwealh frione mon ofslea.
[007600 (75)],    Be forstolenes ceapes forefonge.
[007700 (76)],    Be þon gif mon oðres godsunu slea oððe his godfæder.
