id,text
[000100 (1)],"    Ærest of Stanforda on þa apuldran, on þone haran stan."
[000200 (2)],    Swa on Hennamere.
[000300 (3)],"    Of Hennamere on Gosamere, on stan oran."
[000400 (3)],"    Of stan oran on<../images/tbar.gif><hlypiget>, of þam hlypgete andlang hamma of ðam hammum on ða sadeludan ac."
[000500 (5)],"    Of þære sadeludan æc, on cwenan brigce."
[000600 (5)],    Of cwenan brigce on kynges rode.
[000700 (6)],    Of cynges rode on Eadwaldingstan.
[000800 (7)],    Of ðam stane in Mucan treow of Mucan treowe on ða apuduran.
[000900 (8)],<../images/tbar.gif>ðanon rihte on Fulan broc.
[001000 (8)],    And swa andlang broces on Bydincel of Bydincele on Loddrawyllon of Lodderawyllon on clæg weg.
[001100 (9)],    Andlang clæg weges on sulan ford.
[001200 (10)],    Of ðam forda on þa ealdan byd andlang byd on Deorham.
[001300 (11)],    Of Deorhamme on Mærbroc.
[001400 (11)],    Andlang broces on þone wyrtwalan to þam acholte.
[001500 (12)],    Þonne swa se Wyrtwala sceat on Fearn beorhg.
[001600 (13)],    Of Fearn beorhgan on þa eggce.
[001700 (14)],    Andlang eggce swa be þam heafdon on þone graf.
[001800 (15)],    Swa be ðam Wyrtwalan on þa stræt.
[001900 (15)],    Andlang stræte on Esnes stan.
[002000 (16)],    Of Esnastanne on þone ealdan weg.
[002100 (16)],    Andlang weges adun be ðam graue.
[002200 (17)],    Swa be þam heafdon on Hundes geat.
[002300 (18)],    Of Hundes geate on þone mere.
[002400 (18)],    Of ðam mere swa be Wyrtwalan on þa ealdan dic.
[002500 (19)],    Of þære dic on sticelan stige of þære stige on Fearn leage on Mærbroc.
[002600 (20)],    Andlang Mærbroces on Cuðwealding leage.
[002700 (21)],    Of þære leage on Mærbroc andlang broces on Baddanham.
[002800 (22)],    Of ðam hamme on Byd.
[002900 (22)],    Andlang Byd on Hreodmorwyllon þanon on haranstan & swa on Fileðham.
[003000 (23)],    Ðanon on Cearcesleage.
[003100 (23)],    Of Cearces leage.
[003200 (24)],    On Headdan rode.
[003300 (24)],    Of Headdan rode on Bydewyllon & swa on Emelhylle þonne on west weg.
[003400 (25)],    Of west wege on hric weg.
[003500 (26)],    Andlang weges on Wrænnan leage <suðewearde>.
[003600 (26)],<../images/tbar.gif>swa on Oxnahealas.
[003700 (27)],    Of oxena healon on Bicanstige.
[003800 (27)],    Of Bican stige on Merces feld of Merces felda on Mærbroc of Mærbroce on Hlidan.
[003900 (28)],    Of Hlydan on M<../images/etail.gif>rsic of Mærsice on Hegestaldes setl.
[004000 (29)],<../images/tbar.gif>ðanon rihte on Willerdes pol.
[004100 (30)],    And swa andlang Fromes.
[004200 (30)],<../images/tbar.gif>up on Cweorn cleofu.
[004300 (31)],    Þanon rihte on Befer pyttas.
[004400 (31)],    And swa on Hyddes burhg.
[004500 (31)],<../images/tbar.gif>on æscburhg.
[004600 (32)],    Of æscbyrig on clæghyrste on þa ealdan wic.
[004700 (32)],    Of ealdan wic on Bydanwyrð.
[004800 (33)],    Of Bydanwyrðe on Sinder ford.
[004900 (33)],    Of Sinderforda andlang Frome eft on Stanford.
