id,text
[000100 (1)],    Erest at þan gren aken þanne endelang merebrokes of þan broke on southlinleygh of þar leighe adoun to þan lypgate of þan lypgate over ergespath to þan Ragheye þar þen endlang Ragheyes out on þan feld þanne bi southe of weofwelle þanne of þan welle endlang beuer bourne on stanforde.
[000200 (5)],    Of stanforde on þe olde heggerewe on sondermede þar one of sundermede endland weies out bi weste smalehammes þanne over þane feld endelang þere heggerewe þat Alfric made on schortegrove þare þanne in on þe grove on þer wester swolle.
[000300 (9)],    Of þer swelle on þer dich of þer dich on thene ellenstubbe of þane stubbe over stanleyghe to þer elde elde heggerewe þare þanne endelang heggerewe eft on þer one doune estward.
[000400 (12)],    On þer one doune to bradewellebroke to þan stone of þan stone eft to þan seswelwe at clinanfelde of þan seswelwe to þar appildore of þar appildore to trindscathin.
[000500 (14)],    Of trinscathin to holendene to acforde to acford south on þan stone of þan stone to þan Rym aken peginhullis þe mere of þar yo endlang dich þar eft on þe ya.
