id,text
[000100 (1)],"ad pontificale, episcopaleto biscoplicum."
[000200 (2)],"conciliabulum, colloquiumsynoðe."
[000300 (3)],"contribulium, amicorumgesiblingum."
[000400 (4)],faleratogeredegedum.
[000500 (5)],"uectus, subleuatusahafen."
[000600 (6)],"comunt, ornantglencað."
[000700 (7)],"facetus, i facundusgetincge."
[000800 (8)],quadripedantefiþerfetum.
[000900 (9)],"putrem, fetentem<../images/lbar.gif>puluereumdustigne."
[001000 (10)],"quatit, percutitbeateð."
[001100 (11)],"implicans, ligansbefealdende."
[001200 (12)],metitur<amet>.
[001300 (13)],classicissciplicum.
[001400 (14)],nautarumseþra<../images/lbar.gif>flodmanna.
[001500 (15)],"cohortibus, exercitibusherium."
[001600 (16)],gurgiteswæ.
[001700 (17)],"liburnamscehþ, ceol."
[001800 (18)],"hortante, monentemyniedum."
[001900 (19)],proretaancremen.
[002000 (20)],"crepante, sonantecearciendum."
[002100 (21)],naucleristeormannes.
[002200 (22)],porticulohamele.
[002300 (23)],spumosisfemgendes.
[002400 (24)],algosiswarihtum.
[002500 (25)],remorumroþra<../images/lbar.gif>arena.
[002600 (26)],tractibustyun.
[002700 (27)],truditscifþ.
[002800 (28)],per gimnosophistasþurh witige pleimen<../images/lbar.gif>gleawe gligum.
[002900 (29)],exercerigeworden<../images/lbar.gif>began.
[003000 (30)],scolareslarlice.
[003100 (31)],disciplinascræftas.
[003200 (32)],"olfactum, odorembræd."
[003300 (33)],"turpiter, despectefuliche."
[003400 (34)],duriciesstiþnes.
[003500 (35)],instrumentistol.
[003600 (36)],purpureabrun.
[003700 (37)],diuturnumlangsum.
[003800 (38)],"parrochiam, gubernationemscire."
[003900 (39)],faculablasan.
[004000 (40)],"rediuiua, restituta, linumflex."
[004100 (41)],aliteri elles.
[004200 (42)],"muri, i edificiatimbrunge."
[004300 (43)],consumptiforfarene.
[004400 (44)],eumhine.
[004500 (45)],"curriculo, cursuryne."
[004600 (46)],"examen, multitudospearm."
[004700 (47)],"quieti, i silentio<../images/lbar.gif>somnoreste."
[004800 (48)],"rostro, orebile."
[004900 (49)],respueritwiþsoc.
[005000 (50)],"furue, i nigredeorces."
[005100 (51)],fuliginissotes.
[005200 (52)],atramentumblæc.
[005300 (53)],gremiumbosme.
[005400 (54)],ianitordureweard.
[005500 (55)],pontificatudome.
[005600 (56)],tetresperte.
[005700 (57)],indiciumdom.
