id,text
[000100 (1)],    Æræst of isen hyrste gate on slahðor weg.
[000200 (1)],    Þonon on ðone norðmæstan weg.
[000300 (2)],    Ðæt on æðeredes hagan æt widighamme forð on þa mearce in on ða tigel ærnan forð andlang mearce on gisteardes wylle.
[000400 (4)],    Þonon andlang mearce on ðet wot treow æt ðære baran fyrhðe.
[000500 (5)],    Þonnon on ðet fæstergeat swa on ðet deope del ðonon on icæles æwilmas to Æðelbrihtes mearce æt ylfethamme.
[000600 (6)],    Ðonon ut on ðone hæðfeld on fugel mere swa on bromhyste.
[000700 (7)],<../images/tbar.gif>andlang burnan on bedecanlea.
[000800 (8)],    Ðonon ofer ealne ðære hæðfeld up to hnæfes scylfe.
[000900 (9)],    Ðanan west andlang mearce to strete.
[001000 (9)],<../images/tbar.gif>west to ceolbrihtes stane.
[001100 (10)],<../images/tbar.gif>west on þa festændic.
[001200 (10)],    Swa on ða mearce on eferæs cumb.
[001300 (10)],    Ðæt andlang mearce on mules fen.
[001400 (11)],<../images/tbar.gif>on duddan broc andlang streames on brydan ford.
[001500 (12)],<../images/tbar.gif>on fearnlea ford.
[001600 (12)],    Swa in on æscæsslep ford.
[001700 (13)],    Andlang streames in on hrunigfealles wæt.
[001800 (13)],    Ðonon andlang streames op to æmices oran.
[001900 (14)],<../images/tbar.gif>andlang weges to ðære wulfruscan.
[002000 (14)],    Ðonan forð to ðon hæðfeld heale.
[002100 (15)],    Andlang mearce oi ðet hig geat.
[002200 (15)],    Ðon on lilles beam.
[002300 (16)],    Ðonan forð on ða mearce to beonet legæ gæmære.
[002400 (17)],    Swa on ðone hæðenan byrgels.
[002500 (18)],    Ðonan west on ða mearce þær ælfstan lið on hæðenan byrgels<../images/tbar.gif>on badecan dæne.
[002600 (18)],    Swa forð on sibbes weg.
[002700 (19)],    Ðonan wulfstanes mearce æt weargeburnan.
[002800 (19)],    Ðon on cannæn dene westewearde ðon on pattan dene westewearde.
[002900 (20)],    Ðon on heglea to ceoleages treowe.
[003000 (21)],    Ðon forð on ða dupan furh þær deocca berena stodan.
[003100 (22)],    Swa inon wifæles mære.
[003200 (22)],<../images/tbar.gif>in on ðone to brocænan beorð.
[003300 (23)],    Swa on hamstedes wyllas norðewearde.
[003400 (23)],    Ðon eft inon isenhyrstengeat.
