id,text
[000100 (1.1)],"id est I mansam in loco qui uulgariter Biscopes dun nominatur, cum onnibus ad eundem locum rite pertinentibus, pascuis, campis, pratis, etsynderliceXVmæd aceras on ðære eafurlunga forne gean Tidingtun."
[000200 (1.5)],    Et nigoðe healf æcer on Scothomme.
[000300 (1.6)],    AndXIIaceras yrðlandes betwyx ðare ea and ðare dic æt ðæm stangedelfe.
[000400 (1.8)],    And ðone hagan on Wærincwican.
[000500 (1.8)],    And ðone Ælfrices læge.
[000600 (1.9)],    And ðone þriddan æcer beanlandes on Biscopes dune.
[000700 (2.1)],    Ðis sind ða landgemæro into Biscopes dune.
[000800 (2.2)],    Ærest in fule wellan.
[000900 (2.2)],    Of ðære wellan andlang ðæs gemæres into Cloptunes gemæro.
[001000 (2.3)],    Ondlang ðæs gemæres ðæt on ðone feldene stret.
[001100 (2.4)],    Of ðære stræte ðæt on ðone pyt.
[001200 (2.5)],    Of ðam pytte on ða heafda.
[001300 (2.5)],    Ondlang ðara heafda on ðone bradan mere middewardan.
[001400 (2.6)],    Of ðam mere andlang sices on Ælfrices brycge.
[001500 (2.7)],    Of ðære brycge andlang furh on slahhyll.
[001600 (2.8)],    Swa ðar on ða heafdo in ða sealtstret.
[001700 (2.9)],    Of ðære stræte innon Scotbroc.
[001800 (2.10)],    Ondlang broces ðæt onbuton ðone croft ðe Wynstan bylde.
[001900 (2.11)],    Ðar up on ða dic ðe he gedicte.
[002000 (2.11)],    Ðæt on Scotriðes gemæro.
[002100 (2.12)],    Ondlang ðæs gemæres ðæt on Wilmundigcotan gemæro.
[002200 (2.13)],    Ondlang ðæs gemæres ðæt on berlandes heafda.
[002300 (2.14)],    Ondlang ðæs gemæres ðæt on Sceldes heafda.
[002400 (2.15)],    Ondlang ðara heafda ðæt on Ælflede gemæro.
[002500 (2.16)],    Of Ælflede gemæro ðæt on Grentes mere.
[002600 (2.17)],    Ðæt up on ðone grenan weg.
[002700 (2.17)],    Ondlang ðæs weges ðæt eft in fule wyllan.
