id,text
[000100 (29)],Hiis igitur limitibus tellus prefata giratur.
[000200 (30)],    <Ðis> is þe landimere to Certeseye and to þorpe.
[000300 (30)],"    Þat is arest on Waiemuþe up endlonge Waie, to Waibrugge, to midstreme."
[000400 (31)],"    Of Waibrugge suþuuard to boggesley, of boggeslye bi midestreme to Wudeham."
[000500 (33)],"    Of Wodeham suþriste into Haleuuik bi midestreme, and so forþ bi tuuene þe londe of Haleuuik and þe londe of Wyntredeshulle Westrigte."
[000600 (35)],"    And so forþ Westrigte in fule brok þe geþ bi twene fetingelye and þe forthe vergthe, and so forþrigte to þe horestone and fram þe horestone in to þe derneforde."
[000700 (37)],    And so forþ west rigte endlonge streme in to þe more aet estuuodesende.
[000800 (38)],"    And so up be tuuene estuuode and otershaghe on þe horeþorne, of þe horeþorne to eccan treiuue, of eccan treouue to þe þrem burghen."
[000900 (41)],"    Of þe þrem burghen in to þe shigtren, of þe shigtren in to Merchebroke, of Merchebroke on exlaepesburne, of exleapesburne to þene hore mapeldure."
[001000 (43)],"    Of þe hore mapeldure to þe þrem treouuen, of þe þrem treouuen endlange depebrok rigt to wealegate, of waelegate on Shyrepol, of Shyrepol rigt to fulebrok."
[001100 (45)],"    Of fulebrok to þe blake witghe, of þe wiþeghe forþrigte to wealeshuþe, andlange temese an oþerehalue Mixtenham in þere ac be tuuene burgheyge and Mixtenham, enlonge þe waetere rigt to neatel eyghe."
[001200 (48)],"    Of þen eyghe endlonge temese, abute oxelake, and so forþ endlange temese to bores burghe, and so forþ endlange temese rigt to hamen eyge."
[001300 (51)],"    And sua forþ endlange streme rigt be norþen hameneyghe, and sua for endlange temese be haelue streme eft on Wayemuþe."
