id,text
[000100 (1)],    Þys <synden> wa lande gemer atte Kyngesbury.
[000200 (1)],    Erest on Pedridan op alang stremes on Lambrokes gemoure.
[000300 (2)],    Op alang Lambrokes to Schepton gemer to we þrires dyke.
[000400 (3)],    Adoun þer to þere lake lancke þere dyke adoun to Foulenbroke.
[000500 (4)],    Alang Foulenbroke out on a Moure to þan Northlangpulle.
[000600 (5)],    Forþ by Lanpulle by Northen Pendanmede wyþ Myddelnyes Lanpulle.
[000700 (7)],    Of þan Lanpulle to þornylake fornegen Thorny Myddewarde on Southhal.
[000800 (8)],    Oþ on an lake fornegen Esthele yn an Horsyes Northlandpulle.
[000900 (9)],    Forþ out on an Moure est on Pedrenstreme.
[001000 (10)],    Thys beth Kyngesbery landboundes.
