id,text
[000100 (1)],    Þis his norþ niwan tunes boc.
[000200 (1)],    Aerest on Auene æt stintes forde þæt andlang weges on teoltan ford.
[000300 (2)],    And swa ongean stream on wifeles ford.
[000400 (2)],    Þonne andlang þæs friðherpaþes on sandbeorh.
[000500 (3)],    Of þam beorge to botan wylle.
[000600 (3)],    Þonne forð be streame on blacan lace.
[000700 (4)],<../images/tbar.gif>andlang lace on afene.
[000800 (4)],    And swa andlang stremes eft on stintes ford.
[000900 (6)],    Þis synt þa landgemære æt þam oran.
[001000 (7)],    Ærest on hæsel wylle.
[001100 (7)],<../images/tbar.gif>andlang weges on beorh dic.
[001200 (7)],    Þonne andlang þære dic on risþysel.
[001300 (8)],    And swa west on butan on bradanstan.
[001400 (8)],    Of þam stane on rugan dic.
[001500 (9)],    Þonen on lusa beorg.
[001600 (9)],<../images/tbar.gif>andlang weges on readan sloh.
[001700 (10)],    And swa to wodnes dic.
[001800 (10)],    Þonne forð be þare dic on crypelgeat.
[001900 (11)],    Þonne to dræg stane.
[002000 (11)],    And swa to meos leage.
[002100 (11)],    Of þare leage andlang oxna pæþes eft on hæsel wylle.
