id,text
[000100 (1)],    Wið eafodece pollege þæt on englis dwyrcgedwosle wulle on ele odðer on clane butere & smyre þæt heafod mid.
[000200 (4)],De Beta.
[000300 (5)],    Wið ealda & singalum heafoðece cnuca þa wurd þat bete hatad & gnid on þa þunwunge & ufan þæt heafod.
[000400 (7)],    Þu wundrast þas lacedomes.
[000500 (7)],    Eft wiþ þat ylce cnuca cyleþene on ecede & smire mid þæt heafod bufan þa eagen.
[000600 (9)],    Sona byð hym sæl.
[000700 (9)],    Wið slapende lice wyrce bæð.
[000800 (10)],    Nim þæt mycele fearn niðeweard & eallan rinde cnuca tosomne & mede drosna do þarto & beþweh hine wel wearme.
[000900 (12)],    Gif syna scrincon nim mucgwyrte gebeatene & wid ele gemenged gelogode smyre mid.
[001000 (14)],    Mucgwyrte seaw seoþ on ele smira mid.
[001100 (14)],    Wið heafodece genim bettonican & pipor gignid togadere læt ane niht hangie on claðe & smira mid þat heafod.
[001200 (17)],"    Wið sceancena sarnyssa & fotece, bettonica & georma leaf & finul & ribban ealra efenfela & gemeng wyd mylc & wyð wæter & beþa mid."
